input,i_sentiment,i_location,reference,r_sentiment,r_location,semantic_similarity
we just walked in and waited until someone saw us and sat us .,negative,103082,we got waited on right away .,positive,214897,3.182412624359131
the taco had a hard thick tasteless shell .,negative,71599,delicious street tacos !,positive,232857,3.078125476837158
our service was incredibly slow .,negative,155850,service was very friendly and quick .,positive,271817,3.104467868804932
our service was incredibly slow .,negative,155850,the service is efficient and fast .,positive,382102,3.082626342773437
our service was incredibly slow .,negative,155850,decent fast service .,positive,303092,3.1682159900665283
our service was incredibly slow .,negative,155850,the service was fast and attentive .,positive,181371,3.235412836074829
our service was incredibly slow .,negative,155850,fast quick service !,positive,353768,3.4587714672088623
our service was incredibly slow .,negative,155850,the drive through service is really fast .,positive,225545,3.412550687789917
our service was incredibly slow .,negative,155850,"service was fast , efficient , and very friendly .",positive,263092,3.0180535316467285
our service was incredibly slow .,negative,155850,fast and quick service .,positive,330540,3.4704277515411377
our service was incredibly slow .,negative,155850,the service is quick and attentive .,positive,264766,3.076019763946533
our service was incredibly slow .,negative,155850,"always consistent , often busy but always quick service .",positive,246548,3.062610387802124
our service was incredibly slow .,negative,155850,service is always fast !,positive,307051,3.033827781677246
our service was incredibly slow .,negative,155850,service was fast and easy !,positive,307853,3.1595346927642822
our service was incredibly slow .,negative,155850,they had us seated pretty fast and the service was absolutely great !,positive,246746,3.136326789855957
our service was incredibly slow .,negative,155850,"food was great and affordable , service was great , food came out quick .",positive,294121,3.0259296894073486
our service was incredibly slow .,negative,155850,the service was great and very quick !,positive,353765,3.2989532947540283
our service was incredibly slow .,negative,155850,"fast , fast , fast service .",positive,226783,3.101874589920044
"however , on our most recent visit we had ordered the chicken fettuccine dish .",negative,72884,the greek salad with chicken is the best salad i 've ever had .,positive,293666,3.1205151081085205
"however , on our most recent visit we had ordered the chicken fettuccine dish .",negative,72884,very tasty chicken and good selection of side dishes .,positive,336361,3.013075351715088
that is the only thing we could taste .,negative,145796,we were impressed on how great everything tasted .,positive,266612,3.056066036224365
"it was n't bad , but it was n't good .",negative,117752,"clean , clean , and clean !",positive,168879,3.368737936019897
"it was n't bad , but it was n't good .",negative,117752,this is my spot !,positive,261105,3.034641981124878
"it was n't bad , but it was n't good .",negative,117752,let me tell you !,positive,233154,3.2307288646698
"it was n't bad , but it was n't good .",negative,117752,go here right now !,positive,174321,3.1534831523895264
"it was n't bad , but it was n't good .",negative,117752,it is really that good .,positive,192394,3.07523250579834
"it was n't bad , but it was n't good .",negative,117752,thanks national !,positive,179822,3.0569775104522705
"it was n't bad , but it was n't good .",negative,117752,and more yum !,positive,213733,3.110201358795166
"it was n't bad , but it was n't good .",negative,117752,special thanks !,positive,310077,3.0214507579803467
"it was n't bad , but it was n't good .",negative,117752,yay yay yay !,positive,187676,3.0523898601531982
"it was n't bad , but it was n't good .",negative,117752,"authentic , authentic , authentic !",positive,181089,3.3170416355133057
"it was n't bad , but it was n't good .",negative,117752,it 's my day !,positive,332943,3.0992586612701416
"it was n't bad , but it was n't good .",negative,117752,great deals .,positive,356875,3.01228141784668
"it was n't bad , but it was n't good .",negative,117752,the all in one smoothie is the most amazing smoothie i have ever had !,positive,251299,3.1913578510284424
"it was n't bad , but it was n't good .",negative,117752,thanks sharon !,positive,318295,3.038238286972046
"it was n't bad , but it was n't good .",negative,117752,quite the contrary !,positive,163935,3.1255857944488525
"it was n't bad , but it was n't good .",negative,117752,true story .,positive,210740,3.2601144313812256
"it was n't bad , but it was n't good .",negative,117752,it was such a nice experience .,positive,253031,3.074843645095825
"it was n't bad , but it was n't good .",negative,117752,fun fun fun !,positive,381499,3.18709659576416
"it was n't bad , but it was n't good .",negative,117752,this is a quaint little neighborhood like place .,positive,200943,3.0672192573547363
"it was n't bad , but it was n't good .",negative,117752,"if you ask for spicy , it will be spicy .",positive,361703,3.2500112056732178
"it was n't bad , but it was n't good .",negative,117752,"it 's like that , you see .",positive,166935,3.1991686820983887
"it was n't bad , but it was n't good .",negative,117752,it 's my favorite here .,positive,191803,3.094078540802002
"it was n't bad , but it was n't good .",negative,117752,thanks docs !,positive,178342,3.0907862186431885
"it was n't bad , but it was n't good .",negative,117752,it was a superb dining experience dining at the chart house .,positive,270277,3.05499005317688
"it was n't bad , but it was n't good .",negative,117752,rare !,positive,308231,3.1170217990875244
"it was n't bad , but it was n't good .",negative,117752,top notch !,positive,174755,3.1697211265563965
"it was n't bad , but it was n't good .",negative,117752,it 's like magic .,positive,163252,3.199081420898437
"it was n't bad , but it was n't good .",negative,117752,great bar with a great atmosphere and a friendly vibe .,positive,277984,3.187971591949463
"it was n't bad , but it was n't good .",negative,117752,and damn was it good !,positive,355034,3.1501457691192627
"it was n't bad , but it was n't good .",negative,117752,mmmm ... yeah ... .,positive,304568,3.1758902072906494
"it was n't bad , but it was n't good .",negative,117752,wise .,positive,251785,3.2759406566619877
"it was n't bad , but it was n't good .",negative,117752,"thanks , ron !",positive,320324,3.032850980758667
"it was n't bad , but it was n't good .",negative,117752,"it 's a small detail , but worth mentioning .",positive,313981,3.208482027053833
"it was n't bad , but it was n't good .",negative,117752,same goodness as always .,positive,309817,3.1293766498565674
"it was n't bad , but it was n't good .",negative,117752,this place ... this place ... .,positive,375695,3.133742094039917
"it was n't bad , but it was n't good .",negative,117752,one of my very favorite meals !,positive,284581,3.072096586227417
"it was n't bad , but it was n't good .",negative,117752,"special dishes , seasonal dishes .",positive,311511,3.081850051879883
"it was n't bad , but it was n't good .",negative,117752,thanks mark !,positive,198881,3.18753719329834
"it was n't bad , but it was n't good .",negative,117752,it was outstanding .,positive,167559,3.0699684619903564
"it was n't bad , but it was n't good .",negative,117752,friendly and helpful service .,positive,236358,3.0074663162231445
"it was n't bad , but it was n't good .",negative,117752,are you kidding me .,positive,313094,3.046640396118164
"it was n't bad , but it was n't good .",negative,117752,my favorite bar ever !,positive,198426,3.013385057449341
"it was n't bad , but it was n't good .",negative,117752,on the bright side ... .,positive,281027,3.03393030166626
"it was n't bad , but it was n't good .",negative,117752,it was so so so so good !,positive,342983,3.0334949493408203
"it was n't bad , but it was n't good .",negative,117752,top three !,positive,348658,3.124275684356689
