input,i_sentiment,i_location,reference,r_sentiment,r_location
A bathroom with a border of butterflies and blue paint on the walls above it.,neutral,source_3,A very clean and well decorated empty bathroom,positive,target_3
A stop sign that has been vandalized is pictured in front of a parked car.,negative,source_25,A red stop sign with a Bush bumper sticker under the word stop.,neutral,target_25
A vandalized stop sign and a red beetle on the road,negative,target_31,A graffiti-ed stop sign across the street from a red car,neutral,source_31
a bathroom with toilet and sink and blue wall,neutral,source_49,Clean indoor bathroom with tiled floor and good lighting.,positive,target_49
six people on a bus at night time,negative,target_189,There are only a few people in the bus.,positive,source_189
"A clean, mediocre motel bathroom with a nice sink.",negative,source_213,A demonstration of a well maintained hotel bathroom,neutral,target_213
"A bathroom with a toilet, sink, mirror and shower stall.",neutral,target_219,The bathroom with a toilet has an interesting sink.,positive,source_219
A women who is tearing off a piece of bread.,negative,source_227,A woman sitting at a table with win and bread.,neutral,target_227
A cat stuck in a car with a slightly opened window.,negative,source_239,A cat standing on a car seat looking out the car window.,neutral,target_239
A phone and a computer on a kitchen counter.,neutral,target_323,A nicely decorated kitchen with metallic refrigerator and blue counter.,positive,source_323
A toilet sits next to a sink in a bathroom.,neutral,source_407,A pristine bathroom sits waiting to be used,positive,target_407
This is a photo of a small hotel bathroom,neutral,source_413,Clean bathroom that is brightly colored and has a window,positive,target_413
A black cat making an angry face while sitting on the bathroom floor,negative,source_475,A black cat sits on a bathroom floor next to some laundry.,neutral,target_475
A TV is behind glass in a bathroom.,negative,target_487,A bathroom with a TV near the mirror,neutral,source_487
There is some pet food in the floor in an empty kitchen,neutral,target_521,A very clean kitchen with some animal food on the ground.,positive,source_521
A woman is shaving her face while sitting on a wooden bench.,negative,target_557,two females sitting on a bench one is being the arms for the other.,neutral,source_557
A bathroom window reveals a snowy day outside.,neutral,source_653,A crisp neutral bathroom embellished with modern treatments.,positive,target_653
A game of croquet is being played in a back yard.,neutral,target_773,A group of friends enjoy a game of croquet on a grassy fenced in field.,positive,source_773
A dirty kitchen that looks to be under construction.,negative,source_809,Dirty kitchen with cleaning supplies placed allover the counters.,neutral,target_809
Two kitchen stools sitting in front of an island in a kitchen,neutral,target_893,A very clean kitchen with the light on.,positive,source_893
Man dressed in a wrap in a personal kitchen.,neutral,target_919,A woman smiles at a man who is wearing a colorful sarong.,positive,source_919
A family watches while two boys play a singing game.,neutral,target_943,A family sits at a table together enjoying each other's company,positive,source_943
A modern bathtub in a bathroom is displayed.,neutral,source_967,A view of a fancy spa like bathroom with a blue tiled tub.,positive,target_967
A married couple posing in front of a piece of birthday cake.,neutral,target_1017,"A man and woman celebrating a special occasion, about to blow out a candle.",positive,source_1017
An older woman preparing to blow out the candle on her birthday cake standing besides an older man,neutral,source_1027,A man and woman smiling in front of a cake.,positive,target_1027
This is a bathroom sink in a hotel,negative,target_1079,An indoor bathroom with reflective marble counter tops,neutral,source_1079
A door leading to a bathroom with a sink visible.,neutral,source_1103,"A clean bathroom with sink, toilet and shower.",positive,target_1103
A little dog is laying on a man's arm.,neutral,source_1137,A small dog cradled in his loving owner's arm as he falls asleep.,positive,target_1137
A man in a parade has red and white face and umbrella.,neutral,source_1177,Soccer fan is showing his support by dressing up.,positive,target_1177
A bathroom is lit by a light over a sink.,neutral,source_1185,A spacious bathroom with a fancy bathtub and sink.,positive,target_1185
A selfie of a young woman in her bathroom.,neutral,target_1245,An attractive woman taking a selfie in a bathroom.,positive,source_1245
"A bathroom featuring an oddly shaped toilette, shower and sink.",neutral,target_1305,A small bathroom decorated with pretty red flowers.,positive,source_1305
"The bathroom has a shower area, toilet and sink.",neutral,source_1315,A bathroom that has some flowers on the sink and toilet.,positive,target_1315
"A kitchen with a sink, ovens and dishes in it.",neutral,source_1347,A small spotless and clean stainless steel kitchen.,positive,target_1347
A bathroom toilet next to a window with a handicap bar next to it and a cabinet over it,neutral,target_1401,The sunlight is shining brightly in the bathroom,positive,source_1401
A fresh airy white and pink clean bathroom.,neutral,target_1453,A bathroom that is very clean and nice.,positive,source_1453
A small bathroom has a small sink and window,neutral,target_1461,An empty bathroom with a very clean sink.,positive,source_1461
A young woman riding a skateboard down the road.,neutral,target_1487,A beautiful blonde woman rides a skateboard across a busy street.,positive,source_1487
A street is blocked off with green tape.,negative,target_1509,A black car traveling past parked cars on a tree filled street.,neutral,source_1509
"A street that has been blocked off and a tree is down, covering the street.",negative,source_1515,A car is stopped in front of downed trees on the street.,neutral,target_1515
A bathroom with white sheer toilet covers and curtains.,neutral,source_1545,A bathroom is heavily decorated with lacy cloths.,positive,target_1545
A bathroom with coverings on the toilet tank and lid.,neutral,target_1555,Bathroom pictures are seen decorated with frilly accessories.,positive,source_1555
A bathroom with a shower and his and her sinks.,neutral,source_1605,A bathroom that is very clean showing a door.,positive,target_1605
A mostly white bathroom is seen and has most likely been recently used.,negative,source_1609,A spacious bathroom has a very small sink and standing shower.,neutral,target_1609
Man pretending to talk into a banana as though it were a telephone.,negative,source_1645,A man holds a banana as if it were a telephone receiver.,neutral,target_1645
A man is looking in the bathroom mirror.,neutral,source_1693,A handsome man stands in front of the bathroom mirror and smirks.,positive,target_1693
Three lighted doors have gold rectangular lights above them.,neutral,target_1803,This is a fancy bathroom with nice lighting.,positive,source_1803
A bathroom sink next to a very large mirror.,neutral,target_1829,A nicely displayed bathroom sink in a hotel.,positive,source_1829
A bathroom counter has purple orchids on it.,neutral,source_1831,A small bathroom has been very neatly organized,positive,target_1831
A train's bathroom with a sink and a toilet.,negative,target_1899,A small restroom with a toilette and kitchen sink.,neutral,source_1899
Multiple tooth brushes sitting on the counter next to a bathroom sink.,negative,source_1921,A container holding several different color toothbrushes in front of blue tile,neutral,target_1921
shiny  fancy black car driving on a street.,negative,target_1939,A car driving along a street in the daytime.,neutral,source_1939
A woman has a cat pressed up to her lips.,neutral,target_1957,A woman in glasses hugs and kisses her cat.,positive,source_1957
A woman with glasses kissing a black and white cat.,neutral,source_1961,A woman kisses and hugs her Siamese cat.,positive,target_1961
A white toilet and sink in a white tiled bathroom.,negative,source_2031,"In a small bathroom, the toilet is beside the sink",neutral,target_2031
A bathroom with two mirrors and two sinks.,neutral,source_2041,An elegant bathroom with two sink and mirror sets.,positive,target_2041
A group is gathered around a kitchen island.,neutral,source_2055,A group of people well dressed standing around a kitchen with lots of food.,positive,target_2055
A run down bathroom with three dingy sinks.,negative,source_2173,A restroom with multiple sinks and a wide open window.,neutral,target_2173
An old bathroom with broken tiles on the wall.,negative,source_2181,Three sinks in a bathroom of an old building.,neutral,target_2181
A disorganized kitchen with missing appliances and cabinets.,negative,target_2185,A kitchen in a state of construction without cabinet doors,neutral,source_2185
